,0.0,None
20,6.199160004043545e-44,None
quite,6.916010883824671e-44,None
fact,8.175999981956088e-44,None
hussein,8.248265262131324e-44,None
couldnt,8.859741029678818e-44,None
weeks,1.2680008246024889e-43,None
seem,1.5769433236999868e-43,None
hospital,1.7148590752513812e-43,None
2014,3.1086166145131644e-43,None
propaganda,3.5886520795511604e-43,None
including,4.441649955685008e-43,None
arent,4.865978391471576e-43,None
earlier,5.3763151558433834e-43,None
2,6.218828800749827e-43,None
presidents,7.649008034947164e-43,None
supposedly,9.310762667697382e-43,None
jan,1.2703962363953311e-42,None
conspiracy,2.5201403795188654e-42,None
smear,3.74276711593458e-42,None
truly,3.942776032288982e-42,None
absolutely,4.471948548977967e-42,None
kill,5.150579798856157e-42,None
2018,5.614862879131693e-42,None
shes,1.338048556295352e-41,None
projects,3.0792525253277354e-41,None
south,3.602335556948289e-41,None
mass,3.690613841476548e-41,None
liberal,4.635334575246115e-41,None
st,4.76287054661718e-41,None
editing,6.728279218092734e-41,None
islamabad,7.618969532289241e-41,None
openly,8.641343322544517e-41,None
like,1.4549284812606927e-40,None
chinas,1.560324469256813e-40,None
certainly,2.5842059840030745e-40,None
spencer,7.497820613742868e-40,None
services,1.438591300747295e-39,None
regional,1.579493416069649e-39,None
americas,2.374778203482145e-39,None
word,2.6231367865652722e-39,None
infamous,2.9656329731961376e-39,None
evidence,3.000249665038587e-39,None
25,3.2225586387252686e-39,None
night,3.740629600046111e-39,None
issues,4.0246292249772886e-39,None
three,1.0158236010191037e-38,None
criminals,1.5707942337388996e-38,None
agency,2.009374736236538e-38,None
never,2.703737022283706e-38,None
parliament,2.979717728222596e-38,None
days,3.3866344831418217e-38,None
gov,4.993845424084277e-38,None
ahead,5.081313732503333e-38,None
christians,5.525848510551489e-38,None
ap,1.0904291720839646e-37,None
plans,1.2916507746529022e-37,None
ever,1.8005295053552296e-37,None
hasnt,2.0084975618469104e-37,None
innocent,2.3045314015701327e-37,None
comment,7.371809917343629e-37,None
sign,1.251813805893516e-36,None
business,1.4343204528887173e-36,None
democrats,2.0950674666279736e-36,None
investment,2.1549611244195088e-36,None
senior,2.403389829216016e-36,None
ceremony,3.2887589826828696e-36,None
policy,4.585556953103368e-36,None
claiming,5.695052397045495e-36,None
staff,6.02146342819091e-36,None
companys,6.181532934425194e-36,None
citys,6.81697388645463e-36,None
22,7.512244271497436e-36,None
caller,8.130968007911956e-36,None
centre,9.568069358937755e-36,None
sector,1.0106293772610954e-35,None
5,1.0861698563576157e-35,None
christian,1.449496469400493e-35,None
ministers,2.5163012955570484e-35,None
entitled,8.476062190421592e-35,None
heres,8.956343644200971e-35,None
officials,1.0853517371796116e-34,None
illegal,1.3761230930810807e-34,None
industry,1.4121695046109957e-34,None
perhaps,1.4167122698151388e-34,None
exposing,1.6253265004234541e-34,None
twitter,2.216496139580971e-34,None
longterm,2.9635829259595767e-34,None
un,2.975371236982061e-34,None
country,3.129168072086347e-34,None
partys,4.141455549099182e-34,None
someone,8.200309606653137e-34,None
afternoon,1.154633868615413e-33,None
clearly,1.2032420132577797e-33,None
group,1.3883992279409415e-33,None
11,1.4140223231905758e-33,None
elections,2.1177624858928798e-33,None
areas,2.1247798793476402e-33,None
koreas,2.2838674940551788e-33,None
liberals,2.4518342191754356e-33,None
18,3.104435763040361e-33,None
theyve,1.0395448021093257e-32,None
anything,1.0614043717133758e-32,None
getty,1.0868386205652489e-32,None
let,1.2322453848520605e-32,None
know,3.250621198911454e-32,None
todays,3.3532278571675403e-32,None
yes,3.8023139322880115e-32,None
attempting,6.517567240847112e-32,None
16,8.654205089014405e-32,None
district,1.0478445614566269e-31,None
elites,1.05991863119837e-31,None
russias,1.1919436205293667e-31,None
completely,1.2266957414048989e-31,None
individual,1.2758486077985167e-31,None
thing,1.7641075522116385e-31,None
9,2.036793044658346e-31,None
zero,2.379051542042924e-31,None
concerns,2.5639575116483522e-31,None
real,3.2001513995512593e-31,None
amid,3.948980562526408e-31,None
uk,5.591862926724021e-31,None
2011,1.1068372119006549e-30,None
religion,1.2180099563318946e-30,None
thomson,1.364148446162629e-30,None
book,1.4967177180714529e-30,None
khan,1.93985801705025e-30,None
immigrant,3.0848229914279796e-30,None
office,3.143338563780914e-30,None
womens,3.279186420905649e-30,None
forth,4.0976052412653424e-30,None
forces,4.2187506996178196e-30,None
1000,5.0464913696481785e-30,None
6,5.588259701014256e-30,None
13,6.754911120244592e-30,None
four,8.267059615959206e-30,None
utterly,8.426066524704966e-30,None
community,9.57379382584754e-30,None
quote,1.1345906440383289e-29,None
march,1.1542208692566794e-29,None
today,1.2507892225883996e-29,None
hypocrisy,1.285783500216378e-29,None
author,1.3017313790974761e-29,None
violent,1.7799994380002398e-29,None
whole,1.832742163071776e-29,None
barack,2.1716355357386527e-29,None
means,2.2022519299850272e-29,None
session,3.707987629029109e-29,None
bernie,4.122580155963188e-29,None
near,5.17575251139167e-29,None
faithful,8.050609688240508e-29,None
23,9.229374226615711e-29,None
punjab,1.2455928616217058e-28,None
2019,1.524027128171037e-28,None
blacks,1.984029658456065e-28,None
team,2.5473006206237406e-28,None
local,2.6122100168350263e-28,None
notion,2.978788001315045e-28,None
soviet,3.0918932045406916e-28,None
news,3.125973372510903e-28,None
havent,3.5121860991900726e-28,None
articles,3.862497849282084e-28,None
london,4.0160096609505584e-28,None
turkey,4.499487578537075e-28,None
might,4.986718894772752e-28,None
criminal,5.93649459330571e-28,None
lie,6.2279112275958675e-28,None
park,8.992146890815685e-28,None
21,9.083409567658716e-28,None
launched,9.651089896698204e-28,None
2012,9.658156844965475e-28,None
precisely,1.0204697666264687e-27,None
hedge,1.124104977117883e-27,None
really,1.5808027948837291e-27,None
false,1.8204835456424055e-27,None
narrative,2.0308147766049163e-27,None
virtually,2.3271076988436845e-27,None
subscribing,2.3923459412150214e-27,None
ideology,2.459288999994137e-27,None
7,2.6707211656466002e-27,None
provincial,2.7883081505734642e-27,None
26,2.8932961067882115e-27,None
coins,2.9229319806154923e-27,None
27,3.2127613329351436e-27,None
19,3.618286749643355e-27,None
story,3.7024840541041045e-27,None
remember,3.789112943094333e-27,None
chairman,4.280675642534296e-27,None
expose,4.429730204478783e-27,None
werent,4.8545405997875586e-27,None
market,5.341422105933817e-27,None
literally,5.458004733499374e-27,None
lets,5.959856739604924e-27,None
gonna,6.159313666253768e-27,None
delhi,7.027242196028476e-27,None
2013,7.028959646708786e-27,None
3,8.488805015899341e-27,None
director,9.802153536365016e-27,None
chinese,1.2359416986342239e-26,None
road,1.3627694140087923e-26,None
jews,1.6716562512147903e-26,None
17,2.055687433185717e-26,None
catholics,2.2421853260442373e-26,None
4,2.879395176853846e-26,None
committee,3.4311923169635253e-26,None
tell,3.795520130770124e-26,None
greatest,4.3720884473803246e-26,None
scheduled,4.6319042329936055e-26,None
rather,4.634835176550834e-26,None
evening,5.275945941807968e-26,None
syria,5.584379663123326e-26,None
lies,5.609741553556149e-26,None
held,6.238920937912856e-26,None
fusion,6.394307581462856e-26,None
parties,6.50358486971241e-26,None
east,7.093037294350334e-26,None
inc,7.163642740448586e-26,None
ms,7.281290930523583e-26,None
court,7.669618835749527e-26,None
establishment,9.061030333570618e-26,None
stupid,9.71110761132775e-26,None
amendment,9.852684994814933e-26,None
spokeswoman,9.868470144266761e-26,None
reporters,1.1714440877992665e-25,None
youll,1.4569764934586694e-25,None
defence,1.5618266651739963e-25,None
lahore,1.9499227752992407e-25,None
terror,1.9517986548272734e-25,None
program,2.0359403019696049e-25,None
joint,2.0897981763743235e-25,None
jr,2.271313355254701e-25,None
published,2.3386904435005563e-25,None
village,2.4019338406906462e-25,None
brotherhood,2.5111962861695616e-25,None
pretend,2.5771649529656455e-25,None
militants,2.9082053036927807e-25,None
concerning,3.1523856820776966e-25,None
indian,3.501282586963147e-25,None
cooperation,3.80297152776245e-25,None
syrias,3.8485665223977875e-25,None
admit,5.020822320262983e-25,None
beijing,5.108588554380881e-25,None
sheriffs,5.988786903319699e-25,None
agreed,6.409782404637942e-25,None
dossier,6.696837620219756e-25,None
workers,6.992759512256343e-25,None
excuse,7.425340626039644e-25,None
god,9.05697305074672e-25,None
every,1.2569388276972636e-24,None
shouldnt,1.5508222111679532e-24,None
administrations,1.5584129096194144e-24,None
family,1.5830772393358352e-24,None
economy,1.6451792671183156e-24,None
agents,2.537581227923566e-24,None
forward,2.5722097529857853e-24,None
muellers,2.6834038030206195e-24,None
town,3.0508157520727273e-24,None
party,3.2241714584709236e-24,None
mention,3.420743743215543e-24,None
j,3.54062423045734e-24,None
claims,3.567190131904867e-24,None
injured,3.932194227302401e-24,None
work,5.208863859639047e-24,None
luther,6.263394312179488e-24,None
ignore,7.072501048145255e-24,None
rational,8.883575707613281e-24,None
youve,9.4771253754478e-24,None
enforce,1.0919501623436318e-23,None
whatever,1.3372896404985315e-23,None
programme,1.519237279622366e-23,None
commission,1.67652873578286e-23,None
ali,1.7359128457150356e-23,None
thought,1.7433333329623433e-23,None
10000,1.8693134675847747e-23,None
100000,2.26966143899771e-23,None
24,2.788258096474346e-23,None
w,3.301410215267937e-23,None
hed,3.3458617706036e-23,None
knows,3.609796456061341e-23,None
companies,3.787269318848666e-23,None
reason,4.0106736161386024e-23,None
theory,4.292127355547478e-23,None
whos,4.9321972834065037e-23,None
council,5.224738185794361e-23,None
attacking,5.2542333507953704e-23,None
france,5.30347253473911e-23,None
r,6.708679206006587e-23,None
saying,6.898814705309942e-23,None
service,6.952830094034693e-23,None
rs,7.270405090787512e-23,None
ceo,8.401319830638007e-23,None
rightly,8.542454222184231e-23,None
supreme,8.587122294349965e-23,None
billion,9.392165234756458e-23,None
hates,1.049656090541615e-22,None
newsletter,1.10706082375558e-22,None
conservatives,1.1627805340012443e-22,None
religious,1.3638902422665113e-22,None
deputy,1.4520852780782593e-22,None
move,1.5703840445680869e-22,None
assembly,1.7204906605831792e-22,None
next,1.7636273735363052e-22,None
enforcing,1.776345733560745e-22,None
union,1.8909684997532974e-22,None
defend,2.1048009890947752e-22,None
terrorist,2.264871297861064e-22,None
finance,2.4314493652150947e-22,None
something,2.4663773175920956e-22,None
tehran,2.809510494685615e-22,None
written,2.9807416444515317e-22,None
hitler,3.0874317548244603e-22,None
deal,3.8553859403403356e-22,None
negotiations,4.421650924473635e-22,None
doctrine,4.570864590325538e-22,None
operations,4.649721808819663e-22,None
authorities,5.251399237678378e-22,None
destroying,5.783773132541746e-22,None
realize,7.149311197710774e-22,None
delegation,7.280258264798924e-22,None
piece,7.362795909884169e-22,None
political,7.599545644203638e-22,None
congressional,7.818831684193382e-22,None
possibly,8.314686452730495e-22,None
defending,8.443782958583649e-22,None
process,9.316343803308676e-22,None
glenn,9.894725451573169e-22,None
thus,9.97941541328446e-22,None
secretary,1.0369742624770246e-21,None
numerous,1.0805736296144367e-21,None
8,1.0973925790112353e-21,None
imagine,1.1195631492950497e-21,None
partner,1.1222258612396725e-21,None
time,1.1995646876225562e-21,None
28,1.2217368552600345e-21,None
morally,1.2495245114767876e-21,None
christianity,1.2651598658382168e-21,None
incident,1.348923146787229e-21,None
george,1.3993502348446344e-21,None
conference,1.5047032443086647e-21,None
29,1.5080566383767955e-21,None
blame,1.577874742155825e-21,None
much,1.5859079049593e-21,None
construction,1.6041896497705802e-21,None
commit,1.6455014007480089e-21,None
definition,1.6593328018207443e-21,None
enemies,1.6784354791909454e-21,None
late,1.946825365313318e-21,None
sort,2.0884608146596205e-21,None
blatant,2.1761875216002838e-21,None
immigrants,2.2119353379326493e-21,None
iran,2.2168174287611226e-21,None
station,2.571014259801356e-21,None
future,2.5913488520568363e-21,None
censorship,2.6248406621837215e-21,None
date,2.7431636374694687e-21,None
jaein,2.8960723115386777e-21,None
right,3.3013222379855126e-21,None
31,3.708481616982503e-21,None
millions,3.876068150315072e-21,None
affairs,4.737838270977905e-21,None
stressed,4.97171978578081e-21,None
spokesperson,5.012580031560117e-21,None
opportunities,5.101444836041057e-21,None
strzok,6.18977243081624e-21,None
justify,7.131727830823015e-21,None
britains,7.166912783124072e-21,None
return,7.531447774949796e-21,None
guy,7.794017143381214e-21,None
karachi,8.410658041785713e-21,None
five,8.635349675396464e-21,None
id,9.253222603881698e-21,None
hours,9.500870417075158e-21,None
turkeys,9.584890990741597e-21,None
meet,1.112394211111687e-20,None
since,1.2534927513945233e-20,None
progress,1.3346773387937048e-20,None
unconstitutional,1.3656977333049692e-20,None
mere,1.5276270962349718e-20,None
supremacist,1.5543809662434632e-20,None
appears,1.7588423963783254e-20,None
growth,1.9441653106812375e-20,None
newsletters,2.3462228052406243e-20,None
improve,2.775868792749012e-20,None
ankara,3.109391122896906e-20,None
modi,3.109391122896906e-20,None
coalition,3.682816521097367e-20,None
leaders,3.865203044119097e-20,None
thousand,4.2501324180456964e-20,None
killed,4.262746620347237e-20,None
governments,4.3133233014108964e-20,None
high,4.537463854190219e-20,None
expressed,4.904285281284411e-20,None
partnership,5.433803922961205e-20,None
file,5.485460535161203e-20,None
canada,6.813471879812217e-20,None
destruction,7.056668687087412e-20,None
residents,7.057616219010136e-20,None
childrens,9.803741695723229e-20,None
asia,1.0372400839686089e-19,None
ought,1.147470905203629e-19,None
must,1.2432598700161996e-19,None
gen,1.3109606599147554e-19,None
equally,1.4556262188027224e-19,None
guess,1.4690755133062423e-19,None
ideological,1.5568988185111887e-19,None
pakistans,1.6953887577667633e-19,None
nations,1.7419601262848407e-19,None
declined,1.821692882551883e-19,None
daniel,1.9562371220106533e-19,None
journalist,2.0846505578214236e-19,None
parliamentary,2.1061672140659874e-19,None
patriots,2.1128527589455382e-19,None
nsa,2.1128527589455382e-19,None
car,2.3370194968717036e-19,None
doubt,2.5778093360894908e-19,None
murdered,2.7958871433434175e-19,None
annual,3.114472222530957e-19,None
email,3.197692129913235e-19,None
reports,3.216785628444771e-19,None
indias,3.3399573216088127e-19,None
asked,4.007272536591198e-19,None
updated,4.031570662027583e-19,None
energy,4.213926414059829e-19,None
perfectly,4.2283663453839252e-19,None
agent,4.3124403185945725e-19,None
seoul,4.349042469686873e-19,None
share,4.518890715582447e-19,None
gallery,4.654965867859249e-19,None
press,4.861791091733572e-19,None
president,4.937483487087769e-19,None
copyright,5.040416118379558e-19,None
technology,5.090905619833794e-19,None
murderous,5.418634874620375e-19,None
virtue,5.486762911582237e-19,None
top,5.5065137309055605e-19,None
media,5.823374755357407e-19,None
refuse,6.339713400270567e-19,None
netanyahu,7.00425204027043e-19,None
truths,7.588946398458031e-19,None
set,7.876512879144029e-19,None
mobile,7.973725457010652e-19,None
standards,8.088507172163218e-19,None
turkish,8.248705014680041e-19,None
trade,8.664322612778863e-19,None
believing,8.90527938213062e-19,None
districts,9.146803722986754e-19,None
advertisement,9.940507221749437e-19,None
partners,1.1826007478312274e-18,None
north,1.280055695169269e-18,None
none,1.3131438683249363e-18,None
korea,1.3838386106534271e-18,None
theyll,1.427802859314444e-18,None
makes,1.4417353464153692e-18,None
bishops,1.5998956845031915e-18,None
israeli,1.6854747730640877e-18,None
lying,1.7111569268841732e-18,None
challenges,1.7700047737175085e-18,None
role,1.837785226561525e-18,None
washingtons,1.9091557245679455e-18,None
syrian,2.0809725344235987e-18,None
manager,2.0972770909456973e-18,None
bank,2.1090223968945977e-18,None
specifically,2.2464302985576883e-18,None
seats,2.337923695729703e-18,None
bad,2.35418642902873e-18,None
massive,2.4828643257082166e-18,None
board,2.5728652360188395e-18,None
silence,2.579672781614807e-18,None
house,2.6233225884828934e-18,None
little,2.6899829836829685e-18,None
examples,2.734096933074837e-18,None
investors,2.7387409483889066e-18,None
read,2.7731846541043752e-18,None
address,2.8757023314975707e-18,None
customers,2.971703181877133e-18,None
six,3.026887287526588e-18,None
belief,3.1338058866666637e-18,None
died,3.1641717851797066e-18,None
yonhap,3.527433648702609e-18,None
started,3.602722189435667e-18,None
sides,3.874816790120645e-18,None
registered,4.079043571078425e-18,None
assume,4.417756866772131e-18,None
unit,4.505883755870256e-18,None
health,4.546861032102785e-18,None
bilateral,4.588097288068111e-18,None
outraged,4.684229891241841e-18,None
county,5.565792596432506e-18,None
fellow,5.831804855407457e-18,None
tyler,6.021259612784928e-18,None
ten,6.0438274497598315e-18,None
senator,6.236841181413892e-18,None
cent,6.895970471505082e-18,None
help,7.305750769511246e-18,None
understand,7.625902109188156e-18,None
labeled,8.388955080207403e-18,None
manila,8.430520373916981e-18,None
going,8.587975745277057e-18,None
enforcement,9.759906920242702e-18,None
violently,1.1233919482998157e-17,None
deadline,1.253999356871324e-17,None
racial,1.3452554282910391e-17,None
everyone,1.3554266231379962e-17,None
per,1.361058151478678e-17,None
announcement,1.3795237620111052e-17,None
well,1.4841125255750538e-17,None
infrastructure,1.569011768560716e-17,None
hadnt,1.606968555357925e-17,None
maybe,1.6522856577165604e-17,None
needless,1.7088299754043686e-17,None
talking,1.8528292873179605e-17,None
police,1.891513611112716e-17,None
useful,1.9356294875868595e-17,None
cannot,2.1883422888044208e-17,None
countless,2.1895397119038647e-17,None
korean,2.3254366827128735e-17,None
familys,2.3670267071017233e-17,None
efforts,2.7486095777632553e-17,None
trip,2.7605699091802742e-17,None
50000,2.872761477891895e-17,None
deep,3.0130139263436655e-17,None
bid,3.170011471207508e-17,None
ensure,3.344278376442882e-17,None
units,3.4112179139781415e-17,None
highprofile,3.486543369923144e-17,None
wedding,3.548931309495859e-17,None
meaningless,3.578878454810532e-17,None
bureaucrats,3.612223429474098e-17,None
throw,4.082313836027506e-17,None
take,4.13713963324605e-17,None
sharif,4.792696952140456e-17,None
dems,4.840046151188328e-17,None
proposal,4.902282897799431e-17,None
patriot,4.9510516074098595e-17,None
modern,5.460481887230307e-17,None
tuesdays,5.657574231554813e-17,None
sectors,6.36944371468761e-17,None
oppressive,7.25340375064964e-17,None
farrakhan,7.608945059147902e-17,None
experts,8.15091049907116e-17,None
plan,8.150920204763695e-17,None
summer,8.353267403183768e-17,None
overthrow,8.587537665561835e-17,None
steele,8.79791032730301e-17,None
probably,8.879780168861375e-17,None
lt,9.180390017312605e-17,None
bjp,9.180390017312605e-17,None
trust,9.753509217471712e-17,None
britain,9.871864638749796e-17,None
c,1.041229453426915e-16,None
existence,1.1005379226799755e-16,None
management,1.152031496949607e-16,None
period,1.2742516629682564e-16,None
kim,1.2830458610348957e-16,None
whites,1.324351417407848e-16,None
acts,1.367964637318145e-16,None
summit,1.4001303335376816e-16,None
budget,1.4950078795792751e-16,None
reached,1.5340167128580396e-16,None
provinces,1.5380742535116242e-16,None
homeland,1.5635177782765625e-16,None
cabinet,1.582487358627949e-16,None
protect,1.5843592457911227e-16,None
content,1.6375602404361363e-16,None
invasion,1.685956196006682e-16,None
best,1.8096727024634963e-16,None
ltd,1.866471272856652e-16,None
air,1.8932688647646e-16,None
seven,1.9469731139673513e-16,None
5000,2.243475933058543e-16,None
university,2.268499267566173e-16,None
departments,2.269370822728715e-16,None
cryptocurrency,2.329306864875228e-16,None
economic,2.568676080976808e-16,None
request,2.6503211527988415e-16,None
agencys,2.6629246818378437e-16,None
royal,2.782595426030543e-16,None
dare,2.8457861908961683e-16,None
education,2.938487479738757e-16,None
constitutional,2.985837850638643e-16,None
northern,2.9958184655399e-16,None
edition,3.0121197082070535e-16,None
hundred,3.1777399017634547e-16,None
moreover,3.3652969455986706e-16,None
facilities,3.4685931286777643e-16,None
sputnik,3.590487459076204e-16,None
narendra,3.6878256828324745e-16,None
table,3.8660333424261534e-16,None
yesterday,3.9682150494168226e-16,None
conquest,4.1252470105363525e-16,None
gun,4.48996215597475e-16,None
daughter,4.557519165714525e-16,None
35,5.062277586540342e-16,None
visited,5.085302944470776e-16,None
organisations,5.099038241398191e-16,None
reelection,5.206831104333903e-16,None
complicit,5.257706801718433e-16,None
australia,5.277221230077541e-16,None
premier,5.36044043363562e-16,None
usual,5.681379569911455e-16,None
past,6.098942505087535e-16,None
issue,6.470004602887222e-16,None
endless,6.471229272221977e-16,None
collusion,6.516185615936808e-16,None
hospitals,6.666533009563015e-16,None
nefarious,6.679804547862595e-16,None
dared,6.80529248342095e-16,None
ill,7.17309059309219e-16,None
urged,7.508538770373431e-16,None
disgraced,7.807720124395506e-16,None
singh,7.859243055167617e-16,None
hateful,7.946538504538815e-16,None
organisation,8.299190175430808e-16,None
highlevel,8.509365670297552e-16,None
firms,9.163526627098797e-16,None
true,9.392893578102687e-16,None
suicidal,1.005313678610951e-15,None
caption,1.026024275176752e-15,None
documented,1.041546192965947e-15,None
enemy,1.0652419907516186e-15,None
malaysia,1.1146492862934307e-15,None
bet,1.1865370126276133e-15,None
visitors,1.1939618752851673e-15,None
crimes,1.2419283741189918e-15,None
vehicles,1.2516405768747779e-15,None
accused,1.2788790578752508e-15,None
dec,1.3008337998926492e-15,None
water,1.319485299797619e-15,None
attended,1.3779249145276907e-15,None
sparked,1.3788065633150953e-15,None
perpetrated,1.3986630256697376e-15,None
20000,1.4245082558868312e-15,None
related,1.4606657098962038e-15,None
idea,1.5226410143006407e-15,None
lawyer,1.5483525404834873e-15,None
congressman,1.6600080946772802e-15,None
gmt,1.6757729237832245e-15,None
adviser,1.6858322180191423e-15,None
january,1.6868873390855919e-15,None
lawmakers,1.694087621088115e-15,None
hardly,1.7194924923449942e-15,None
wed,1.7487536402845652e-15,None
clergy,1.7499183362006691e-15,None
incapable,1.8411873738239696e-15,None
first,1.9515709873883502e-15,None
sindh,2.033795067495072e-15,None
singapore,2.0925726848431578e-15,None
proven,2.16430093725889e-15,None
conservative,2.174903481741633e-15,None
peninsula,2.4369144130609223e-15,None
jesus,2.563846397289861e-15,None
becomes,2.5898644281861865e-15,None
2000,2.6109340299004233e-15,None
co,2.6517683718606286e-15,None
mean,2.6633325391792227e-15,None
knew,2.7055442001300526e-15,None
constitution,2.8287740424404655e-15,None
men,2.890966777490177e-15,None
met,2.9649403788245877e-15,None
fisa,3.0417901712907465e-15,None
reader,3.185777317724519e-15,None
100,3.3588354957739495e-15,None
condition,3.479571266470686e-15,None
damascus,3.653411792000132e-15,None
united,3.6874376609646225e-15,None
investments,3.81933494580604e-15,None
official,3.819992065541909e-15,None
possess,3.828942111513623e-15,None
universitys,4.00530080631192e-15,None
peter,4.115816232948318e-15,None
reforms,4.462286560957629e-15,None
perpetual,4.759808840459863e-15,None
exact,4.8552164904529685e-15,None
great,5.29316510994359e-15,None
cave,5.353187482487484e-15,None
quotes,5.639990054750725e-15,None
state,5.742514648964547e-15,None
reported,5.7568809637002866e-15,None
rt,5.7895793903996825e-15,None
detained,5.883232041212793e-15,None
weekend,5.938258693513861e-15,None
