Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Newt Gingrich	3	"Gov. Romney cut off kosher meals for Jewish senior citizens who were on Medicaid to save $5 a day."	Nursing home residents kept kosher	/truth-o-meter/statements/2012/feb/01/newt-gingrich/newt-gingrich-says-mitt-romney-cut-jewish-nursing-/	
Newt Gingrich	3	"The Obama administration ... would impose on every Catholic institution, every Jewish institution, every Protestant institution the Obamacare standard of what you have to buy as insurance."	Rule he's speaking of has religious exemption	/truth-o-meter/statements/2012/jan/31/newt-gingrich/newt-gingrich-says-obama-administration-would-impo/	
Newt Gingrich	3	Students today "take more years to get through" college.	Actually, four-year completion rates have risen steadily in recent years	/truth-o-meter/statements/2012/jan/30/newt-gingrich/newt-gingrich-says-students-today-take-more-years-/	
Newt Gingrich	3	"Romney signed government-mandated health care with taxpayer-funded abortions."	It wasn't in the law	/truth-o-meter/statements/2012/jan/19/newt-gingrich/gingrich-ad-says-mitt-romney-enacted-taxpayer-fund/	
Newt Gingrich	3	Says Mitt Romney "runs away from Ronald Reagan."	Not anytime recently	/truth-o-meter/statements/2012/jan/13/newt-gingrich/newt-gingrich-ad-says-mitt-romney-runs-away-ronald/	
Newt Gingrich	3	In a watershed 1958 decision, "the Warren court asserted by itself that the Supreme Court was supreme over the president and the Congress."	Ignores long line of precedents and details of case in question	/truth-o-meter/statements/2011/dec/20/newt-gingrich/newt-gingrich-says-supreme-court-crossed-major-thr/	
Newt Gingrich	3	"The only reason the unemployment rate is going down is because  twice as many people dropped out of the employment pool as the number of jobs were created."	Gingrich overplays an otherwise fair point	/truth-o-meter/statements/2011/dec/06/newt-gingrich/newt-gingrich-says-unemployment-only-dropped-becau/	
Newt Gingrich	3	President Barack Obama "has now spent three years proving that he kills jobs in energy, he kills jobs in manufacturing."	Two sectors that have actually done pretty well under Obama	/truth-o-meter/statements/2011/dec/06/newt-gingrich/newt-gingrich-says-barack-obama-has-killed-jobs-en/	
Newt Gingrich	3	Ben Bernanke has been the most "inflationary" chairman in the history of the Federal Reserve.	Gingrich claim on Bernanke largely inflated	/georgia/statements/2011/sep/12/newt-gingrich/gingrich-bernankes-policies-inflationary-extreme-l/	
Newt Gingrich	3	Says his Twitter account has 1.3 million followers.	Many tweeps not real peeps	/georgia/statements/2011/aug/09/newt-gingrich/gingrich-twitter-account-has-13-million-followers/	
Newt Gingrich	3	Newt Gingrichs presidential campaign has "exactly the same" challenges as Ronald Reagans successful 1980 bid.	He wishes	/georgia/statements/2011/jul/08/newt-gingrich/gingrich-says-campaign-problems-exactly-same-reaga/	
Newt Gingrich	3	Democrats in Congress "had control since  January of 2007. They haven't passed a law making waterboarding illegal. They  haven't gone into any of these things and changed law."	Bush vetoed the law Dems passed	/truth-o-meter/statements/2009/may/13/newt-gingrich/gingrich-wrong-democrats-and-waterboarding/	
Newt Gingrich	4	Says President Barack Obama got "a pass" over controversalremarks byRev. Jeremiah Wright, while a12-year-old speech by House Majority Whip Steve Scalise hasblown up into a national story.	Bet Obama doesn't think so	/punditfact/statements/2015/jan/06/newt-gingrich/gingrich-obama-got-pass-rev-wright-controversy/	
Newt Gingrich	4	Says Hillary Clinton's health care plan from the 1990s "had a broader provision in favor of corporate right to back out" of providing contraceptive coverage than the one created by the Hobby Lobby Supreme Court decision.	Not Hillary's plan	/punditfact/statements/2014/jul/08/newt-gingrich/gingrich-hillary-clintons-health-plan-had-broad-re/	
Newt Gingrich	4	"The biggest contribution" behind a decrease in U.S. unemployment "was 1.2 million people leaving the workforce"	Bad use of data leads to wrong conclusion	/georgia/statements/2012/feb/29/newt-gingrich/gingrich-main-reason-unemployment-decline-shrinkin/	
Newt Gingrich	4	"You cant put a gun rack in a [Chevrolet] Volt."	This claim is a lemon	/georgia/statements/2012/feb/24/newt-gingrich/gingrichs-gun-rack-quip-about-volt-shot-full-holes/	
Newt Gingrich	4	Says President Barack Obama "has an Environmental Protection Agency proposal that would raise the price of gasoline by 25 cents a gallon."	According to a now-outdated study	/truth-o-meter/statements/2012/feb/07/newt-gingrich/newt-gingrich-says-epa-plans-boost-gas-prices-25-c/	
Newt Gingrich	4	"When I was speaker, we had four consecutive balanced budgets."	Two during his tenure, two after he was gone	/truth-o-meter/statements/2012/jan/23/newt-gingrich/newt-gingrich-repeats-claim-he-balanced-federal-bu/	
