Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Whoopi  Goldberg	3	For the first time in history, (Thors) hammer is being held by a woman.	Whoops, Whoopi!	/punditfact/statements/2014/jul/18/whoopi-goldberg/odins-beard-whoopi-goldberg-flubs-fact-about-femal/
American LeadHERship PAC	1	As mayor, [Allan Fung] raised taxes three times.	And three times he didn't	/rhode-island/statements/2014/oct/14/american-leadhership-pac/american-leadhership-ad-ignores-three-years-allan-/
Mary  Olson	2	there is a plan formulated by Chair (Lynn) Peterson and the cities in Clackamas County to further increase this fee in three years and split it up on projects between the county and cities.	Not quite yet.	/oregon/statements/2010/dec/31/mary-olson/does-clackamas-county-plan-turn-5-year-vehicle-reg/
Newt Gingrich	0	The right-to-work states are creating a lot more jobs today than the heavily unionized states.	Newt's numbers right on jobs in right-to-work states	/georgia/statements/2011/jun/21/newt-gingrich/numbers-back-gingrich-job-growth-claim/
Newt Gingrich	0	some [states] with the largest reductions in crime have also lowered their prison population.	Who knew? Some states with large crime drops also have drops in prison rates.	/georgia/statements/2011/apr/05/newt-gingrich/gingrich-states-should-consider-alternatives-priso/
Newt Gingrich	0	Since World War II, only Gerald Ford and Bill Clinton have had worse ratings after seven months than President Obama.	Seven months in, Obama lags	/truth-o-meter/statements/2009/aug/31/newt-gingrich/barack-obama-poll-after-seven-months-shows-him-beh/
Newt Gingrich	1	(Obamacare) is a bill which has never once had a majority of Americans favor it.	Yes, but majority favors most elements of reform	/truth-o-meter/statements/2013/sep/26/newt-gingrich/obamacare-has-never-been-favored-majority-american/
Newt Gingrich	1	We balanced the budget with the 1997 Balanced Budget Act, and ultimately had four consecutive balanced budgets.	Much better phrased than previous versions	/truth-o-meter/statements/2012/jan/27/newt-gingrich/newt-gingrich-revises-claim-balanced-budgets-impro/
Newt Gingrich	1	On the day of the New Hampshire primary in 1980, the top 13 people of Ronald Reagans staff quit.	Axed aides lost one for the Gipper	/georgia/statements/2011/jun/29/newt-gingrich/gingrich-cites-reagan-bid-say-he-can-win-presidenc/
Newt Gingrich	2	Gangs have increased by 40 percent since this president was elected.	He cites FBI data, but it's a rough estimate	/truth-o-meter/statements/2013/jul/24/newt-gingrich/newt-gingrich-says-gangs-have-increased-40-percent/
Newt Gingrich	2	More people have been put on food stamps by Barack Obama than any president in American history.	Record numbers, but wrong to focus blame on Obama	/truth-o-meter/statements/2012/jan/17/newt-gingrich/newt-gingrich-says-more-people-have-been-put-food-/
Newt Gingrich	2	By 2014, there will be one administrator for every teacher on college campuses in the United States.	Yes, using one definition of "administrator"	/truth-o-meter/statements/2011/nov/14/newt-gingrich/newt-gingrich-says-2014-there-will-be-one-administ/
Newt Gingrich	2	A large number of the uninsured earn $75,000 or more a year.	UPDATE: Census numbers aren't clear cut	/truth-o-meter/statements/2011/jun/15/newt-gingrich/newt-gingrich-says-large-number-uninsured-make-mor/
Newt Gingrich	3	Every major city which has a center of poverty is run by Democrats. Every major city.	Republicans run 3 of the top 20	/punditfact/statements/2013/dec/15/newt-gingrich/new-gingrich-says-poverty-problems-are-tied-democr/
Newt Gingrich	3	Gov. Romney cut off kosher meals for Jewish senior citizens who were on Medicaid to save $5 a day.	Nursing home residents kept kosher	/truth-o-meter/statements/2012/feb/01/newt-gingrich/newt-gingrich-says-mitt-romney-cut-jewish-nursing-/
Newt Gingrich	3	The Obama administration ... would impose on every Catholic institution, every Jewish institution, every Protestant institution the Obamacare standard of what you have to buy as insurance.	Rule he's speaking of has religious exemption	/truth-o-meter/statements/2012/jan/31/newt-gingrich/newt-gingrich-says-obama-administration-would-impo/
Newt Gingrich	3	Romney signed government-mandated health care with taxpayer-funded abortions.	It wasn't in the law	/truth-o-meter/statements/2012/jan/19/newt-gingrich/gingrich-ad-says-mitt-romney-enacted-taxpayer-fund/
Newt Gingrich	3	The only reason the unemployment rate is going down is because  twice as many people dropped out of the employment pool as the number of jobs were created.	Gingrich overplays an otherwise fair point	/truth-o-meter/statements/2011/dec/06/newt-gingrich/newt-gingrich-says-unemployment-only-dropped-becau/
Newt Gingrich	4	You cant put a gun rack in a [Chevrolet] Volt.	This claim is a lemon	/georgia/statements/2012/feb/24/newt-gingrich/gingrichs-gun-rack-quip-about-volt-shot-full-holes/
Newt Gingrich	4	When I was speaker, we had four consecutive balanced budgets.	Two during his tenure, two after he was gone	/truth-o-meter/statements/2012/jan/23/newt-gingrich/newt-gingrich-repeats-claim-he-balanced-federal-bu/
Newt Gingrich	4	I balanced the budget for four straight years, paid off $405 billion in debt.	Wrong then, wrong now	/truth-o-meter/statements/2011/dec/16/newt-gingrich/newt-gingrich-repeats-claim-about-his-record-balan/
Newt Gingrich	4	The Obama administration just issued instructions that terrorism training should not involve any reference to Islam.	Sensitivity, not bans	/truth-o-meter/statements/2011/dec/14/newt-gingrich/newt-gingrich-says-obama-administration-issued-ins/
Newt Gingrich	4	I never favored cap and trade.	Except when he did favor it	/truth-o-meter/statements/2011/dec/07/newt-gingrich/gingrich-claims-he-never-favored-cap-and-trade/
Newt Gingrich	4	Community banks  are being destroyed by Dodd-Frank.	They're actually doing better	/truth-o-meter/statements/2011/nov/21/newt-gingrich/newt-gingrich-says-dodd-frank-destroying-community/
Newt Gingrich	4	For four years, we balanced the budget and paid off $405 billion in debt.	Only part of these achievements on his watch	/truth-o-meter/statements/2011/may/11/newt-gingrich/newt-gingrich-inaccurate-budget-debt-claims-video-/
Newt Gingrich	5	No federal official at any level is currently allowed to say Merry Christmas.	Big Brother doesn't nix Father Christmas	/truth-o-meter/statements/2011/dec/21/newt-gingrich/newt-gingrich-says-no-federal-official-allowed-say/
Newt Gingrich	5	We spend less on defense today as % of GDP than at any time since Pearl Harbor.	Gingrich's Defense Claim Indefensible	/georgia/statements/2011/aug/29/newt-gingrich/gingrich-says-defense-spending-historic-low/
Tim Cook	1	Legislation being considered in Texas would strip the salaries and pensions of clerks who issue marriage licenses to same-sex couples  even if the Supreme Court strikes down Texas marriage ban later this year.	Inaction	/texas/statements/2015/apr/15/tim-cook/apples-tim-cook-texas-considering-law-punish-clerk/
Shemia Fagan	4	I sponsored the new Buy American law	A bill's not a law, simple as that	/oregon/statements/2014/sep/12/shemia-fagan/did-oregon-state-rep-shemia-fagan-sponsor-new-buy-/
Mario Loyola	1	Wisconsins state budget is almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsins working families and businesses remain subject to a heavy tax burden.	On taxin' and spendin', advantage Wisconsin	/wisconsin/statements/2014/dec/01/mario-loyola/mario-loyola-says-even-cuts-wisconsin-spending-and/
Beatrice Lanzi	2	One out of four of our young people say they are victims of this (dating) violence.	All abuse yes; physical abuse no	/rhode-island/statements/2012/mar/04/beatrice-lanzi/rhode-island-state-sen-beatrice-lanzi-says-1-4-you/
Gabrielle Giffords	1	In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks.	Says her own poll, with some support	/truth-o-meter/statements/2013/jul/08/gabrielle-giffords/gabrielle-giffords-says-nh-republicans-gun-owners-/
Priorities USA Action	2	Thousands (in China) owe their jobs to Mitt Romney's companies.	The supporting evidence has some hits and misses	/truth-o-meter/statements/2012/jul/25/priorities-usa-action/pro-obama-super-pac-ad-says-thousands-chinese-work/
Priorities USA Action	2	Mitt Romneys pledged to protect (oil companies') record profits  and their billions in special tax breaks, too.	No "pledge" but evidence points that way	/florida/statements/2012/apr/06/priorities-usa-action/mitt-romney-pledged-protect-oil-companies-tax-b/
Priorities USA Action	3	Mitt Romney made over a hundred million dollars by shutting down (a Marion, Ind. paper) plant.	Money earned by far more people on a much bigger investment	/truth-o-meter/statements/2012/nov/05/priorities-usa-action/ad-claims-mitt-romney-made-over-hundred-million-do/
Brian Anderson	1	Pasco County has the second highest population of homeless in all of Florida.	Not exact science	/florida/statements/2013/apr/10/brian-anderson/pasco-county-has-states-second-highest-homeless-po/
John Carter	4	The Obama Administration's own White House Council of Economic Advisers has estimated 4.7 million Americans will lose their jobs if the (health care) bill passes.	The White House said nothing of the sort	/truth-o-meter/statements/2009/sep/08/john-carter/texas-lawmaker-latest-republican-say-health-bill-w/
Liberals Are Cool	5	Q: What do these Patriotic' Americans have in common? A: They are all Draft Dodgers.	Facts dodger	/new-jersey/statements/2013/mar/24/liberals-are-cool/liberal-group-claims-mitt-romney-dick-cheney-donal/
Kenneth Block	0	(I) helped to invent a system that saved over a billion dollars on welfare.	Actually, the $1 billion was from food stamps. Over many years. In Texas.	/rhode-island/statements/2010/aug/29/kenneth-block/block-says-system-he-helped-create-detect-welfare-/
Kenneth Block	1	More than 9,000 Rhode Island voters used the Moderate Party master lever mechanism and they didn't have a single Moderate on their ballot.	Voters can't master the master lever	/rhode-island/statements/2013/feb/22/kenneth-block/block-says-moderate-party-has-lots-votes/
Kenneth Block	1	Eleven states complete their [legislative] sessions within three calendar months, and another five only meet biennially.	Is shorter session better?	/rhode-island/statements/2013/jan/08/kenneth-block/kenneth-block-chairman-rhode-islands-moderate-part/
Kenneth Block	4	The increase in the garbage tax that [Mayor Allan Fung] imposed in Cranston for some people has been as much as $200.	Garbage in, garbage out	/rhode-island/statements/2014/jul/27/kenneth-block/ken-block-says-cranston-mayor-allan-fung-increased/
Democratic Party of Wisconsin	0	The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin.	Pretty big turnaround from Great Recession	/wisconsin/statements/2014/jan/27/state-democratic-party-wisconsin/wisconsin-democratic-party-says-state-budget-surpl/
Democratic Party of Wisconsin	3	Hes been in office nearly four years now, but 40% of Wisconsinites don't know who (U.S. Sen.) Ron Johnson is.	Not exactly	/wisconsin/statements/2014/jul/02/state-democratic-party-wisconsin/wisconsin-sen-ron-johnson-largely-unknown-democrat/
Democratic Party of Wisconsin	5	(U.S. Reps.) Paul Ryan, Sean Duffy and Reid Ribble are  shutting down town hall meetings, or making their constituents pay to attend them.	Many ways to see them: County fairs, coffees, Rotary meetings, and ... town hall meetings	/wisconsin/statements/2011/sep/06/state-democratic-party-wisconsin/wisconsin-democratic-party-says-republican-represe/
Democratic Party of Wisconsin	5	Two elections in a row (Waukesha County Clerk Kathy Nickolaus) has screwed up counting the vote	Wrong and wrong	/wisconsin/statements/2011/aug/11/state-democratic-party-wisconsin/democratic-party-wisconsin-chairman-mike-tate-says/
Marcy Kaptur	0	The region I represent, both currently and in the future, has more automotive plants than the entire state of California.	No California dreamin' here	/ohio/statements/2012/may/29/marcy-kaptur/marcy-kaptur-says-her-district-makes-more-cars-all/
Marcy Kaptur	0	The poorest in this country are women.	Any way you look at it, women fare worse	/ohio/statements/2012/mar/26/marcy-kaptur/rep-marcy-kaptur-says-poorest-america-are-women/
Marcy Kaptur	0	Creeping defense commitments in (the Middle East) and globally now consume over half the U.S. discretionary budget annually.	Budget share has been climbing for the last decade	/ohio/statements/2011/jul/01/marcy-kaptur/rep-marcy-kaptur-says-defense-spending-consumes-mo/
Marcy Kaptur	1	States have cumulatively cut over $1.8 billion from their mental health services between 2009 and 2011. This is the largest reduction in state mental health services in half a century.	Cuts were largest in decades	/ohio/statements/2013/feb/01/marcy-kaptur/rep-marcy-kaptur-says-states-have-slashed-funding-/
Marcy Kaptur	1	Last year, Korea sold nearly half a million cars in our country. ... The United States, you know how much we sell to them? Six thousand. What kind of deal is that?	Her numbers are a little off, but the disparity is real	/ohio/statements/2011/oct/04/marcy-kaptur/marcy-kaptur-says-us-imported-500000-cars-south-ko/
Marcy Kaptur	1	A gallon (of gasoline) delivered to the front lines for our troops in Afghanistan cost more than $400.	Troops in remote areas get the pricey petrol	/ohio/statements/2011/may/23/marcy-kaptur/rep-marcy-kaptur-says-gasoline-troops-afghanistan-/
Marcy Kaptur	2	The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.	Social security claims often on insecure ground	/ohio/statements/2013/may/15/marcy-kaptur/rep-marcy-kaptur-says-social-security-trust-/
Marcy Kaptur	2	When Marcy Kaptur brought home $42 million for new manufacturing jobs, Dennis Kucinich voted 'no'.	Claim ignores steadfast opposition to Iraq, Afghanistan wars	/ohio/statements/2012/feb/24/marcy-kaptur/marcy-kaptur-claims-dennis-kucinich-voted-no-new-m/
Marcy Kaptur	4	When (Marcy) Kaptur fought for the Democrats' prescription drug benefit for seniors, (Dennis) Kucinich voted no.	Accuracy ailing in this blast from the past 	/ohio/statements/2012/mar/05/marcy-kaptur/marcy-kaptur-claims-dennis-kucinich-opposed-senior/
Marcy Kaptur	4	Six institutions in our country now control two thirds of the capital.	Two-thirds of something, but it's not capital	/ohio/statements/2011/jan/28/marcy-kaptur/rep-marcy-kaptur-critical-power-hands-few-banks/
Ban the Box RI	0	In Rhode Island, 28 percent of adults released from state prisons are re-incarcerated within a year.	Its now up to 31 percent	/rhode-island/statements/2013/apr/15/ban-the-box-ri/video-says-28-percent-adults-released-rhode-island/
Harry Reid	0	Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans.	Reconciling reconciliation	/truth-o-meter/statements/2010/feb/25/harry-reid/reid-says-repblicans-have-used-reconciliation-more/
Harry Reid	1	In the history of the United States, 168 presidential nominees have been filibustered, 82 blocked under President Obama, 86 blocked under all the other presidents.	This counts cloture votes, not nominees	/truth-o-meter/statements/2013/nov/22/harry-reid/harry-reid-says-82-presidential-nominees-have-been/
Harry Reid	1	President Obama has declared disasters in 48 of 50 states this year.	Yes, there's been a disaster almost everywhere	/truth-o-meter/statements/2011/sep/30/harry-reid/president-obama-has-declared-disasters-how-many-st/
Harry Reid	1	Sharron Angle voted to protect sex offenders.	On sex offenders, Reid lands a cleaner punch than Angle	/truth-o-meter/statements/2010/oct/15/harry-reid/harry-reid-blasts-sharron-angle-vote-against-bill-/
Harry Reid	2	The senior senator from Arizona (John McCain) said he couldn't support repealing 'don't ask, don't tell' because of the economy.	McCain's economy argument was about priorities	/truth-o-meter/statements/2010/dec/06/harry-reid/sen-harry-reid-says-sen-john-mccain-opposes-dont-a/
Harry Reid	2	Sharron Angle wants to wipe out Social Security.	Yes in the primary, potential hedging for the general	/truth-o-meter/statements/2010/jun/24/harry-reid/during-primary-angle-said-social-security-cant-be-/
Harry Reid	3	Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies weve implemented.	It has zig-zagged lower, but not from all-time high	/truth-o-meter/statements/2011/jun/27/harry-reid/harry-reid-says-hispanic-unemployment-ticking-down/
Harry Reid	4	In the last two years, we have reduced the deficit by $2.5 trillion.	Future cuts, and over 10 years, not two	/truth-o-meter/statements/2013/mar/21/harry-reid/harry-reid-says-deficit-has-been-reduced-25-trilli/
Harry Reid	4	We have solved the problem. ... Scientists are now saying leave the nuclear waste where it is.	Not a closed case -- and experts see Reid's solution as problematic	/truth-o-meter/statements/2010/feb/22/harry-reid/reid-calls-nuclear-waste-issue-solved/
Environment New Jersey	3	Hurricane Sandy, the most destructive Atlantic storm ever.	Katrina's the most destructive storm	/new-jersey/statements/2013/jan/06/environment-new-jersey/environment-new-jersey-claims-sandy-most-destructi/
Ovide Lamontagne	2	There are 60,000 fewer jobs today in this state than we had in 2008.	It's been bad, but not that bad	/new-hampshire/statements/2012/jul/13/ovide-lamontagne/granite-state-has-lost-jobs-during-recession-rest-/
We Are Ohio	1	Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job.	'On duty' staffing specifically excluded	/ohio/statements/2011/sep/09/we-are-ohio/we-are-ohio-ad-says-issue-2-would-bar-negotiations/
We Are Ohio	3	Senate Bill 5 makes it harder for nurses to give the patients the quality care they need.	Just 4 to 6 nurses of each 100 in Ohio are public employees	/ohio/statements/2011/oct/10/we-are-ohio/we-are-ohio-claims-sb-5-would/
Sally Kohn	1	Hobby Lobby provided this (birth control) coverage before they decided to drop it to file suit.	Hobby Lobby execs claimed they didn't know	/punditfact/statements/2014/jul/01/sally-kohn/did-hobby-lobby-once-provide-birth-control-coverag/
Sally Kohn	2	Since 9/11, right-wing extremists (incl anti-abortion, anti-gov) have killed more Americans than Islamic extremists.	Motives can be murky	/punditfact/statements/2015/jan/08/sally-kohn/kohn-911-right-wing-extremists-killed-more-america/
Sally Kohn	4	White men account for 69 percent of those arrested for violent crimes.	Stats are off and miss half the story	/punditfact/statements/2015/apr/02/sally-kohn/sally-kohn-white-men-69-percent-arrested-violent/
Chuck Hagel	2	It isn't me cutting the budget. It's the Congress'decision on sequestration. So it isn't secretary of defense or the president doing this.	Obama signed defense cuts into law twice	/truth-o-meter/statements/2014/mar/05/chuck-hagel/hagel-says-congress-responsible-defense-cuts-not-o/
Angel Taveras	1	Providence graduation rates are up.	Cue "Pomp and Circumstance"	/rhode-island/statements/2014/jul/16/angel-taveras/mayor-angel-taveras-says-high-school-graduation-ra/
Angel Taveras	2	If you look at what weve done over the last several years, the crime rate has actually gone down in [Providence] and . . . the number of shootings has been going down.	True for crime rates, shooting stats are hit or miss	/rhode-island/statements/2014/jul/24/angel-taveras/mayor-angel-taveras-says-crime-rate-shootings-have/
Angel Taveras	2	In Connecticut and New York, students at Achievement First schools consistently outperform city and statewide averages.	True for city averages, not so much for state	/rhode-island/statements/2012/jan/15/angel-taveras/providence-mayor-angel-taveras-says-achievement-fi/
Herman Cain	1	If our recovery were more typical of the postwar era . . . we would have 14 million more jobs today.	Jobs are slow to return	/georgia/statements/2011/oct/03/herman-cain/herman-cain-recovery-14-million-jobs-behind-typica/
Herman Cain	1	When I became president and CEO of Godfathers Pizza, it was supposed to go bankrupt . . . We turned it around with common-sense business principles.	Pizza man makes good	/truth-o-meter/statements/2011/jun/10/herman-cain/herman-cain-godfathers-pizza-turn-around/
Herman Cain	2	Current projections indicate that Medicare will go bankrupt by 2017, while Social Security will bottom out by 2037.	Right on Social Security, wrong on Medicare	/georgia/statements/2011/oct/14/herman-cain/cain-says-medicare-social-security-financial-troub/
Herman Cain	2	Today, when people retire in Galveston County, Texas, they retire making at least 50 percent more than they would ever get out of Social Security.	Some do, some don't	/truth-o-meter/statements/2011/sep/12/herman-cain/herman-cain-once-again-touts-galveston-retirement-/
Herman Cain	3	Over the last 40 years, real wage growth has been flatlined because of the policies of the Federal Reserve ... It was all driven by the Federal Reserve.	Blaming the Fed is peculiar, economists say	/punditfact/statements/2014/aug/26/herman-cain/herman-cain-says-wages-flat-thanks-federal-reserve/
Herman Cain	3	Every worker pays 15.3 percent payroll tax.	Employers pay half of that	/truth-o-meter/statements/2011/oct/12/herman-cain/herman-cain-said-workers-now-pay-153-percent-payro/
Herman Cain	4	More people are losing their insurance (due to Obamacare) than are becoming newly insured.	Studies agree: Uninsured rate is dropping	/punditfact/statements/2014/nov/04/herman-cain/herman-cain-says-more-losing-insurance-through-oba/
Herman Cain	4	If we had been on 'Obamacare' and a bureaucrat was trying to tell me when I could get that CAT scan, that would have delayed my treatment.	No, a bureaucrat won't review individual cases	/truth-o-meter/statements/2011/sep/27/herman-cain/herman-cain-said-government-bureaucrats-will-deter/
Herman Cain	4	This is the worst jobs recovery since the Great Depression.	Bad, but not the worst	/georgia/statements/2011/sep/26/herman-cain/cain-jobs-recovery-worst-great-depression/
Herman Cain	4	in Canada, the number of CT scan machines per 1,000 people is like one-tenth of what we have here in this country. That's why people have to wait.	Cain's CT scan claim needs reexamining	/georgia/statements/2011/may/02/herman-cain/Oh-Canada-Cain-says-nation-behind-U-S-in-CT-machin/
Herman Cain	5	I did not say that I would not have them [Muslims] in my Cabinet.	Oh yes he did. Three times. 	/georgia/statements/2011/jun/08/herman-cain/cain-denies-claims-he-said-he-would-not-appoint-mu/
Doug Holder	3	Nearly 25 percent of all automobile accidents are caused by texting while driving.	Should have said 'distracted driving'	/florida/statements/2013/mar/19/doug-holder/rep-doug-holders-texting-while-driving-stat-too-hi/
Patrick Murphy	0	For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000.	His potential opponent, Allen West, still has a bigger war chest	/florida/statements/2011/aug/02/patrick-murphy/allen-west-challenger-says-he-has-raised-more-mone/
Laurie Monnes Anderson	0	In 2010 about 75 percent of child abuse and neglect reports in Oregon were made by those required to report by law.	Child abuse reports stack up to truth	/oregon/statements/2012/mar/02/laurie-monnes-anderson/do-most-child-abuse-reports-come-people-required-r/
David A. Clarke Jr.	4	I've either balanced every budget or we turned back a surplus.	Memory deficit	/wisconsin/statements/2014/aug/08/david-clarke-jr/david-clarke-jr-says-hes-never-had-budget-deficit-/
David A. Clarke Jr.	4	When I was growing up as a kid in the city of Milwaukee, if we averaged 4 homicides a year in the entire city that was a record number.	Rose-colored recollections	/wisconsin/statements/2013/jul/03/david-clarke-jr/milwaukee-county-sheriff-david-clarke-says-4-homic/
DeKalb County	3	The Greenest County in America.	Sorry DeKalb, there is green grass on the other side	/georgia/statements/2011/jan/03/dekalb-county/dekalb-greenest-county-nation-claim-gets-muddy/
Ari Melber	2	The median net worth of American households hasn't changed much over the past decades, it's about $20,000 ... but Congress' average median net worth has ballooned, more than doubled.	The $20k requires an explanation	/punditfact/statements/2014/feb/11/ari-melber/msnbcs-melber-congressional-wealth-climbed-while-m/
Matt  McGrath	5	Gov. Deal has the worst record on education in the history of this state.	Where's the proof?	/georgia/statements/2014/jul/02/matt-mcgrath/carter-camps-claim-all-smoke/
Eric Holder	0	After filing a lawsuit in Rhode Island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period.	A good candidate for the truth	/rhode-island/statements/2011/dec/29/eric-holder/us-attorney-general-eric-holder-says-more-voters-w/
Sarah Palin	0	We spend three times more on entitlements and debt services than we do on defense.	She gets it right	/truth-o-meter/statements/2010/jul/09/sarah-palin/palin-says-us-spends-three-times-more-entitlements/
Sarah Palin	0	Barack Obama ... 96 percent of his votes have been solely along party line.	Yup, Obama votes with the D's	/truth-o-meter/statements/2008/oct/02/sarah-palin/yup-obama-votes-with-the-ds/
Sarah Palin	0	You ... said that Barack Obama was not ready to be commander in chief.	Biden's words haunt him	/truth-o-meter/statements/2008/oct/02/sarah-palin/bidens-words-haunt-him/
Sarah Palin	0	That luxury jet was over the top. I put it on eBay.	No bidders on eBay; sold it offline	/truth-o-meter/statements/2008/sep/04/sarah-palin/no-bidders-on-ebay-sold-it-offline/
Sarah Palin	0	As governor, I've stood up to ... the big oil companies.	Palin sought more taxes and more development from oil companies	/truth-o-meter/statements/2008/sep/01/sarah-palin/palin-sought-more-taxes-and-more-development-from-/
Sarah Palin	1	Americans now spend 100 days out of the year working for government before we even start working for ourselves.	A well-established number that's often described incorrectly	/truth-o-meter/statements/2010/apr/16/sarah-palin/palin-says-americans-spend-100-days-paying-their-t/
Sarah Palin	1	The Defense Department received only one-half of 1 percent of the nearly trillion-dollar stimulus package funding.	She's in the ballpark	/truth-o-meter/statements/2009/sep/29/sarah-palin/palin-says-defense-spending-was-tiny-portion-stimu/
Sarah Palin	1	Job losses are so certain under this new cap-and-tax plan that it includes a provision accommodating newly unemployed workers from the resulting dried-up energy sector, to the tune of $4.2 billion over eight years. So much for creating jobs.	Workers will get help - and maybe a new job, too	/truth-o-meter/statements/2009/jul/16/sarah-palin/palin-claims-cap-and-trade-bill-includes-42-billio/
Sarah Palin	1	Obama held one of the first meetings of his political career in Bill Ayers's home. And they've worked together on various projects in Chicago.	Obama and Ayers, Round II	/truth-o-meter/statements/2008/oct/06/sarah-palin/obama-and-ayers-round-ii/
Sarah Palin	2	One state even spent a million bucks to put up signs that advertise that they were spending on the federal stimulus projects.	Signs advertising stimulus, yes; $1 million, probably not	/truth-o-meter/statements/2010/feb/08/sarah-palin/palin-claims-state-paid-1-million-advertise-they-w/
Sarah Palin	2	As mayor, every year I was in office I did reduce taxes.	Property taxes rates went down, sales tax up	/truth-o-meter/statements/2008/oct/03/sarah-palin/property-taxes-rates-went-down-sales-tax-up/
Sarah Palin	2	I fought to bring about the largest private-sector infrastructure project in North American history.	Not quite the largest, and not quite "brought about"	/truth-o-meter/statements/2008/sep/15/sarah-palin/not-quite-the-largest-and-not-quite-brought-about/
